num,midi, pitch, duration_string, duration, tie, midi pitch, octave
0,59, B4, quarter,1, ,71,4
1,57, A4, quarter,1, ,69,4
2,55, G4, half,2, ,67,4
3,59, B4, quarter,1, ,71,4
4,57, A4, quarter,1, ,69,4
5,55, G4, half,2, ,67,4
6,55, G4, eighth,0.5, ,67,4
7,55, G4, eighth,0.5, ,67,4
8,55, G4, eighth,0.5, ,67,4
9,55, G4, eighth,0.5, ,67,4
10,57, A4, eighth,0.5, ,69,4
11,57, A4, eighth,0.5, ,69,4
12,57, A4, eighth,0.5, ,69,4
13,57, A4, eighth,0.5, ,69,4
14,59, B4, quarter,1, ,71,4
15,57, A4, quarter,1, ,69,4
16,55, G4, half,2, ,67,4
17,59, B4, quarter,1, ,71,4
18,57, A4, quarter,1, ,69,4
19,55, G4, half,2, ,67,4
20,59, B4, quarter,1, ,71,4
21,57, A4, quarter,1, ,69,4
22,55, G4, half,2, ,67,4
23,55, G4, eighth,0.5, ,67,4
24,55, G4, eighth,0.5, ,67,4
25,55, G4, eighth,0.5, ,67,4
26,55, G4, eighth,0.5, ,67,4
27,57, A4, eighth,0.5, ,69,4
28,57, A4, eighth,0.5, ,69,4
29,57, A4, eighth,0.5, ,69,4
30,57, A4, eighth,0.5, ,69,4
31,59, B4, quarter,1, ,71,4
32,57, A4, quarter,1, ,69,4
33,55, G4, half,2, ,67,4
34,55, G4, eighth,0.5, ,67,4
35,55, G4, eighth,0.5, ,67,4
36,55, G4, eighth,0.5, ,67,4
37,55, G4, eighth,0.5, ,67,4
38,57, A4, eighth,0.5, ,69,4
39,57, A4, eighth,0.5, ,69,4
40,1000, REST, eighth,0.5,0,0,
41,1000, REST, eighth,0.5,0,0,
42,59, B4, eighth,0.5, ,71,4
43,59, B4, eighth,0.5, ,71,4
44,57, A4, eighth,0.5, ,69,4
45,57, A4, eighth,0.5, ,69,4
46,55, G4, half,2, ,67,4
47,59, B4, quarter,1, ,71,4
48,57, A4, quarter,1, ,69,4
49,55, G4, half,2, ,67,4
50,59, B4, quarter,1, ,71,4
51,57, A4, quarter,1, ,69,4
52,55, G4, half,2, ,67,4
53,53, F4, quarter,1, ,65,4
54,53, F4, quarter,1, ,65,4
55,53, F4, quarter,1, ,65,4
56,55, G4, quarter,1, ,67,4
57,57, A4, half,2, ,69,4
58,55, G4, half,2, ,67,4
59,53, F4, quarter,1, ,65,4
60,57, A4, quarter,1, ,69,4
61,55, G4, quarter,1, ,67,4
62,55, G4, quarter,1, ,67,4
63,53, F4, whole,4, ,65,4
64,53, F4, quarter,1, ,65,4
65,53, F4, quarter,1, ,65,4
66,53, F4, quarter,1, ,65,4
67,55, G4, quarter,1, ,67,4
68,57, A4, half,2, ,69,4
69,55, G4, half,2, ,67,4
70,53, F4, quarter,1, ,65,4
71,57, A4, quarter,1, ,69,4
72,55, G4, quarter,1, ,67,4
73,55, G4, quarter,1, ,67,4
74,53, F4, whole,4, ,65,4
75,1000, REST, whole,4,0,0,
